"State/Union Territory",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Andhra Pradesh",76542,77710,78616,79502,80369,81219,82049,82858,83649,84426,85188
"Arunachal Pradesh",1110,1121,1135,1149,1163,1178,1192,1206,1221,1235,1249
Assam,26873,27317,27719,28114,28506,28896,29282,29660,30037,30413,30791
Bihar,84385,85568,87131,88662,90162,91631,93068,94474,95849,97192,98505
Chhattisgarh,20969,21412,21764,22111,22455,22797,23134,23466,23796,24124,24452
Goa,1360,1357,1389,1429,1474,1517,1568,1629,1691,1749,1799
Gujarat,51349,52079,52944,53798,54642,55475,56298,57109,57910,58702,59485
Haryana,21467,21837,22273,22707,23140,23569,23997,24425,24849,25270,25686
"Himachal Pradesh",6131,6203,6279,6354,6426,6498,6567,6636,6702,6767,6831
"Jammu & Kashmir",10291,10395,10556,10717,10877,11035,11192,11350,11506,11659,11806
Jharkhand,27271,27737,28206,28664,29116,29567,30008,30438,30865,31293,31727
Karnataka,53321,53969,54654,55327,55992,56647,57292,57927,58552,59170,59780
Kerala,31972,32303,32591,32875,33154,33426,33694,33958,34216,34467,34708
"Madhya Pradesh",61055,62312,63521,64720,65910,67093,68266,69428,70582,71732,72879
Maharashtra,97926,99371,100966,102566,104160,105740,107321,108908,110485,112042,113569
Manipur,2180,2212,2240,2268,2296,2325,2353,2381,2409,2438,2466
Meghalaya,2353,2367,2397,2427,2457,2488,2518,2548,2578,2609,2639
Mizoram,900,907,919,930,942,953,965,976,988,1000,1011
Nagaland,2052,2031,2057,2083,2109,2135,2161,2187,2212,2238,2264
Odisha,37079,37503,37921,38329,38728,39121,39505,39877,40243,40603,40961
Punjab,24625,24899,25243,25586,25925,26257,26587,26916,27240,27556,27861
Rajasthan,57370,58350,59512,60670,61818,62951,64077,65200,66310,67401,68468
Sikkim,552,552,559,566,573,580,587,595,602,609,616
"Tamil Nadu",62742,63332,63883,64416,64933,65435,65919,66386,66836,67273,67698
Tripura,3206,3265,3307,3349,3390,3432,3474,3515,3557,3599,3641
"Uttar Pradesh",168451,171532,174956,178406,181868,185330,188812,192325,195841,199347,202830
Uttrakhand,8578,8720,8866,9013,9160,9305,9451,9597,9742,9885,10027
"West Bengal",80729,81928,82935,83902,84842,85768,86659,87506,88335,89158,89987
"Andaman & Nicobar Islands",359,372,385,399,413,427,442,458,474,489,502
Chandigarh,921,935,977,1026,1080,1135,1197,1267,1340,1412,1480
"Dadra & Nagar Haveli",228,223,233,246,260,274,290,310,330,348,364
"Daman & Diu",164,178,190,201,212,223,234,244,255,265,277
Delhi,14150,14526,14952,15386,15831,16291,16760,17236,17725,18231,18758
Lakshadweep,61,66,68,70,71,73,74,75,75,76,76
Puducherry,980,973,1000,1037,1079,1123,1175,1239,1305,1369,1427
India,1039701,1055563,1072344,1089007,1105535,1121914,1138169,1154311,1170307,1186146,1201810
